TransactionID,ItemDescription,Category,Quantity,Price
1001,Whole Milk,Dairy,2,3.49
1001,White Bread,Bakery,1,2.19
1001,Unsalted Butter,Dairy,1,4.29
1002,Whole Milk,Dairy,1,3.49
1002,Organic Eggs,Dairy,1,4.99
1003,White Bread,Bakery,1,2.19
1003,Unsalted Butter,Dairy,1,4.29
1003,Strawberry Jam,Spreads,1,3.89
1004,Whole Milk,Dairy,2,3.49
1004,White Bread,Bakery,1,2.19
1004,Organic Eggs,Dairy,1,4.99
1004,Unsalted Butter,Dairy,1,4.29
1005,Dark Roast Coffee,Beverages,1,8.99
1005,Whole Milk,Dairy,1,3.49
1005,Croissant,Bakery,2,2.50
1006,Dark Roast Coffee,Beverages,1,8.99
1006,Chocolate Muffin,Bakery,1,2.99
1007,White Bread,Bakery,1,2.19
1007,Strawberry Jam,Spreads,1,3.89
1008,Whole Milk,Dairy,1,3.49
1008,Organic Eggs,Dairy,1,4.99
1008,Dark Roast Coffee,Beverages,1,8.99
1009,Dark Roast Coffee,Beverages,1,8.99
1009,Croissant,Bakery,1,2.50
1009,Chocolate Muffin,Bakery,1,2.99
1010,Whole Milk,Dairy,2,3.49
1010,White Bread,Bakery,1,2.19
1010,Unsalted Butter,Dairy,1,4.29
1010,Organic Eggs,Dairy,1,4.99
1011,Avocado,Produce,3,1.50
1011,Sourdough Bread,Bakery,1,4.50
1011,Extra Virgin Olive Oil,Pantry,1,11.99
1012,Whole Milk,Dairy,1,3.49
1012,Dark Roast Coffee,Beverages,1,8.99
1012,Croissant,Bakery,2,2.50
1013,White Bread,Bakery,1,2.19
1013,Unsalted Butter,Dairy,1,4.29
1014,Organic Eggs,Dairy,1,4.99
1014,Avocado,Produce,2,1.50
1014,Sourdough Bread,Bakery,1,4.50
1015,Dark Roast Coffee,Beverages,1,8.99
1015,Chocolate Muffin,Bakery,2,2.99
1016,Whole Milk,Dairy,1,3.49
1016,White Bread,Bakery,1,2.19
1016,Unsalted Butter,Dairy,1,4.29
1016,Strawberry Jam,Spreads,1,3.89
1017,Sourdough Bread,Bakery,1,4.50
1017,Extra Virgin Olive Oil,Pantry,1,11.99
1017,Avocado,Produce,2,1.50
1018,Dark Roast Coffee,Beverages,1,8.99
1018,Whole Milk,Dairy,1,3.49
1018,Croissant,Bakery,1,2.50
1018,Chocolate Muffin,Bakery,1,2.99
1019,White Bread,Bakery,1,2.19
1019,Organic Eggs,Dairy,1,4.99
1020,Whole Milk,Dairy,2,3.49
1020,White Bread,Bakery,1,2.19
1020,Unsalted Butter,Dairy,1,4.29
